CMDLINE python bst.py
MEM 0.140625 1683720311.4999
MEM 12.484375 1683720311.6004
MEM 21.636719 1683720311.7009
MEM 28.722656 1683720311.8031
MEM 34.195312 1683720311.9079
MEM 37.304688 1683720312.0109
MEM 41.082031 1683720312.1124
MEM 44.230469 1683720312.2145
MEM 45.750000 1683720312.3198
MEM 49.027344 1683720312.4249
MEM 52.492188 1683720312.5253
MEM 57.324219 1683720312.6275
MEM 61.250000 1683720312.7277
MEM 64.753906 1683720312.8280
MEM 68.648438 1683720312.9306
MEM 71.472656 1683720313.0329
MEM 71.660156 1683720313.1335
MEM 71.773438 1683720313.2349
MEM 71.937500 1683720313.3377
MEM 72.109375 1683720313.4410
MEM 72.281250 1683720313.5434
MEM 72.292969 1683720313.6443
MEM 72.464844 1683720313.7495
MEM 72.464844 1683720313.8507
MEM 72.652344 1683720313.9529
MEM 72.652344 1683720314.0531
MEM 72.652344 1683720314.1537
MEM 72.835938 1683720314.2541
MEM 72.835938 1683720314.3546
MEM 72.839844 1683720314.4552
MEM 73.023438 1683720314.5563
MEM 73.023438 1683720314.6579
MEM 73.027344 1683720314.7581
MEM 73.207031 1683720314.8629
MEM 73.207031 1683720314.9678
MEM 73.207031 1683720315.0701
MEM 73.382812 1683720315.1748
MEM 73.390625 1683720315.2795
MEM 73.390625 1683720315.3825
MEM 73.390625 1683720315.4875
MEM 73.433594 1683720315.5918
MEM 73.578125 1683720315.6923
MEM 73.578125 1683720315.7950
MEM 73.578125 1683720315.8969
MEM 73.578125 1683720316.0000
MEM 73.585938 1683720316.1034
MEM 73.589844 1683720316.2084
MEM 73.769531 1683720316.3125
MEM 73.984375 1683720316.4173
MEM 74.035156 1683720316.5200
MEM 74.042969 1683720316.6230
MEM 74.042969 1683720316.7286
MEM 74.042969 1683720316.8315
MEM 74.042969 1683720316.9318
MEM 74.042969 1683720317.0360
MEM 74.042969 1683720317.1380
MEM 74.121094 1683720317.2384
MEM 74.121094 1683720317.3420
